raw data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1755,0.05204793,0.172800782,0.040200811,0.0786025,0.32794757,0.08275951,0.404517436,0.30319237,0.22991373
1757,0.06533273,0.171792722,0.053171605,0.07201558,0.2975103,0.07173371,0.438621312,0.2902361,0.22765097
1759,0.05620124,0.160535654,0.039758164,0.06455627,0.28643326,0.0685196,0.409800482,0.29117663,0.21086673
1761,0.04561463,0.147765045,0.040766165,0.01805481,0.27392814,0.07955009,0.368388927,0.26921498,0.22815898
1763,0.04724095,0.127511726,0.03606258,0.03381883,0.24677016,0.08608538,0.308927348,0.26036649,0.21606202
1765,0.06448291,0.114073585,0.021234222,0.03892929,0.21655563,0.07400822,0.285215005,0.25770389,0.2057207
1767,0.04833438,0.120319174,0.003811343,0.01417663,0.21352545,0.08298887,0.28029139,0.23740154,0.19115246
1769,0.05831093,0.118662907,0.01584658,0.01936124,0.21971116,0.08381284,0.302984917,0.20614029,0.15825237
1771,0.05085905,0.092554529,0.033516154,0.01278974,0.21403948,0.07223029,0.318477565,0.18801672,0.12564826
1773,0.02108703,0.077961066,0.013310249,0.03878539,0.19481149,0.07425899,0.302217165,0.19598162,0.14765056
1775,0.01952745,0.080173559,0.024875127,0.02689072,0.18229833,0.06489762,0.303042805,0.2000405,0.15364907
1777,0.01596983,0.09711358,0.012084606,0.04679134,0.19288989,0.05166379,0.277231696,0.1984254,0.1450726
1779,0.01328747,0.095136408,0.025054691,0.03345025,0.19483883,0.0547549,0.265387353,0.1605113,0.14059001
1781,0.0260675,0.098449701,-0.016181123,0.02584692,0.1926203,0.05228026,0.240919533,0.18976368,0.14440664
1783,0.01485257,0.104118231,-0.015948299,0.01037627,0.13600347,0.04547966,0.225929371,0.19566479,0.12072062
1785,0.0346419,0.091595413,0.011934962,0.0131474,0.10263462,0.05017711,0.236413679,0.18991954,0.11977494
1787,0.01329514,0.082421006,0.020973193,0.03220223,0.13257758,0.05222361,0.250744236,0.155001,0.10172524
1789,-0.0232004,0.103387053,-0.005401502,0.01836178,0.13921855,0.03758047,0.229172823,0.12659786,0.09581718
1791,-0.0491567,0.102705076,-0.032248739,-0.0105159,0.12949569,0.0466848,0.166010895,0.12900616,0.145881
